From	To
P39019	RPS19
P02433	RPL32
P02433	Rpl32
P46779	RPL28
P08526	RPL27
P08526	Rpl27
P08708	RPS17
P16632	RPS24
P16632	Rps24
P23131	RPL23
P23131	Rpl23
P39027	RPS15A
P39027	Rps15a
P35268	RPL22
P12947	RPL31
P12947	Rpl31
P17075	RPS20
P17075	Rps20
P49207	RPL34
P04645	RPL30
P04645	Rpl30
P18077	RPL35A
Q9Y3U8	RPL36
P05387	RPLP2
P42677	RPS27
P23411	RPL38
P23411	Rpl38
P25112	RPS28
P25112	Rps28
Q14974	KPNB1
P52294	KPNA1
P53621	COPA
O00629	KPNA4
Q9BVV6	KIAA0586
O95487	SEC24B
Q00610	CLTC
P55072	VCP
P78527	PRKDC
Q9NQT8	KIF13B
P46459	NSF
Q13310	PABPC4
Q9NSD9	FARSB
P49368	CCT3
Q15097	PABPC1
Q02790	FKBP4
P13861	PRKAR2A
Q9UQ80	PA2G4
Q99816	TSG101
P02571	ACTG1
P02571	Actg1
P16991	YBX1
Q07021	C1QBP
P35232	PHB
O00299	CLIC1
Q00688	FKBP3
P16587	ARF3
P16587	Arf3
P16587	arf3
P16475	MYL6
Q93081	H3C1
Q93081	H3C10
Q93081	H3C11
Q93081	H3C12
Q93081	H3C2
Q93081	H3C3
Q93081	H3C4
Q93081	H3C6
Q93081	H3C7
Q93081	H3C8
P26447	S100A4
P10599	TXN
P02304	H4-16
P02304	H4-I
P02304	H4-II
P02304	H4-III
P02304	H4-IV
P02304	H4-V
P02304	H4-VI
P02304	H4-VII
P02304	H4C1
P02304	H4C11
P02304	H4C12
P02304	H4C13
P02304	H4C14
P02304	H4C15
P02304	H4C2
P02304	H4C3
P02304	H4C4
P02304	H4C5
P02304	H4C6
P02304	H4C8
P02304	H4C9
P02304	H4c1
P02304	H4c11
P02304	H4c12
P02304	H4c14
P02304	H4c2
P02304	H4c3
P02304	H4c4
P02304	H4c6
P02304	H4c8
P02304	H4c9
P02304	H4f16
P02304	Hist1h4m
